timestamp,source_ip,destination,action,bytes,protocol
2025-06-10T09:00:00Z,192.168.1.50,api.openai.com,ALLOW,4500,HTTPS
2025-06-10T09:00:05Z,192.168.1.50,www.google.com,ALLOW,1200,HTTPS
2025-06-10T09:00:10Z,192.168.1.51,api.anthropic.com,ALLOW,3800,HTTPS
2025-06-10T09:00:15Z,192.168.1.52,stackoverflow.com,ALLOW,900,HTTPS
2025-06-10T09:00:20Z,192.168.1.53,generativelanguage.googleapis.com,ALLOW,5200,HTTPS
2025-06-10T09:00:25Z,192.168.1.54,github.com,ALLOW,700,HTTPS
2025-06-10T09:00:30Z,192.168.1.50,chat.openai.com,ALLOW,6100,HTTPS
2025-06-10T09:00:35Z,192.168.1.55,api.cohere.ai,ALLOW,2900,HTTPS
2025-06-10T09:00:40Z,192.168.1.56,huggingface.co,ALLOW,1800,HTTPS
2025-06-10T09:00:45Z,192.168.1.57,copilot-proxy.githubusercontent.com,ALLOW,3200,HTTPS
2025-06-10T09:00:50Z,192.168.1.58,api.mistral.ai,ALLOW,4100,HTTPS
2025-06-10T09:00:55Z,192.168.1.59,reddit.com,ALLOW,500,HTTPS
2025-06-10T09:01:00Z,192.168.1.60,api.deepseek.com,ALLOW,2800,HTTPS
2025-06-10T09:01:05Z,192.168.1.61,api.replicate.com,ALLOW,7500,HTTPS
2025-06-10T09:01:10Z,192.168.1.50,api.openai.com,ALLOW,3900,HTTPS
2025-06-10T09:01:15Z,192.168.1.62,perplexity.ai,ALLOW,2100,HTTPS
2025-06-10T09:01:20Z,192.168.1.63,api.stability.ai,ALLOW,8800,HTTPS
2025-06-10T09:01:25Z,192.168.1.64,api.elevenlabs.io,ALLOW,1500,HTTPS
2025-06-10T09:01:30Z,192.168.1.65,jira.internal.corp,ALLOW,400,HTTPS
2025-06-10T09:01:35Z,192.168.1.66,cursor.sh,ALLOW,2400,HTTPS
2025-06-10T09:01:40Z,192.168.1.67,app.jasper.ai,ALLOW,1900,HTTPS
2025-06-10T09:01:45Z,192.168.1.68,api.groq.com,ALLOW,3600,HTTPS
2025-06-10T09:01:50Z,192.168.1.69,en.wikipedia.org,ALLOW,600,HTTPS
2025-06-10T09:01:55Z,192.168.1.70,midjourney.com,ALLOW,5500,HTTPS
2025-06-10T09:02:00Z,192.168.1.71,runwayml.com,ALLOW,4200,HTTPS
